17:39:07.215 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:5, serverValue:51}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:39:07.215 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:6, serverValue:52}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:39:07.216 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:7, serverValue:53}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:39:07.216 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:8, serverValue:54}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:39:07.216 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:9, serverValue:55}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:39:07.216 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:10, serverValue:56}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:39:07.217 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Closed connection [connectionId{localValue:11, serverValue:57}] to 172.16.21.122:27017 because it is past its maximum allowed idle time.
17:39:07.218 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:12, serverValue:58}] to 172.16.21.122:27017
17:39:07.220 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:13, serverValue:59}] to 172.16.21.122:27017
17:39:07.221 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:14, serverValue:60}] to 172.16.21.122:27017
17:39:07.223 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:15, serverValue:61}] to 172.16.21.122:27017
17:39:07.224 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:16, serverValue:62}] to 172.16.21.122:27017
17:39:07.226 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:17, serverValue:63}] to 172.16.21.122:27017
17:39:07.227 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:18, serverValue:64}] to 172.16.21.122:27017
17:39:07.228 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:19, serverValue:65}] to 172.16.21.122:27017
17:39:07.230 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:20, serverValue:66}] to 172.16.21.122:27017
17:39:07.231 [MaintenanceTimer-1-thread-1] INFO  o.m.d.connection - [info,71] - Opened connection [connectionId{localValue:21, serverValue:67}] to 172.16.21.122:27017
